what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1281544099828
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1281544099921
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1281544099921
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1281544099984
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1281544100062
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1281544100140
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1281544100359
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1281544100437
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1281544100859
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1281544114171
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1281544114281
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1281544114312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544115250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544121406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544125390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544182671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544190656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544223125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1281544223140
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281544225296
